,Baths,Beds,County,Last Sold,Sales Price,Style,Total Sq. Ft.,Year Built,Year Renovated,Zip Code,rURL,Lot Size Sq. Ft.
339,3.0,4.0,Alameda County,2015-11-30,1395000.0,Single Family Residential,3300.0,2008.0,2008.0,94605,/CA/Oakland/300-Elysian-Fields-Dr-94605/home/601696,64033.2
385,3.0,4.0,Alameda County,2016-11-15,920000.0,Single Family Residential,2033.0,1988.0,1988.0,94605,/CA/Oakland/4918-Stoneridge-Ct-94605/home/1681045,9500.0
684,3.0,4.0,Alameda County,2015-09-18,845000.0,Single Family Residential,2996.0,2008.0,2008.0,94605,/CA/Oakland/3833-Twin-Oaks-Way-94605/home/2113137,5962.0
869,3.0,4.0,Alameda County,2016-12-12,765000.0,Townhouse,2513.0,2013.0,2013.0,94605,/CA/Oakland/6463-Bayview-Dr-94605/home/22656390,2511.0
1117,3.0,4.0,Alameda County,2017-05-18,1275000.0,Single Family Residential,2508.0,1978.0,1981.0,94605,/CA/Oakland/4820-Commonwealth-Dr-94605/home/537029,34848.0
1651,3.0,4.0,Alameda County,2016-09-28,318500.0,Single Family Residential,2481.0,1977.0,1979.0,94605,/CA/Oakland/3014-Broadmoor-Vw-94605/home/773533,5267.0
1778,3.0,4.0,Alameda County,2016-09-14,765000.0,Townhouse,2349.0,2008.0,2008.0,94605,/CA/Oakland/6480-Bayview-Dr-94605/home/22671041,2061.0
2753,3.0,4.0,Alameda County,2016-07-04,746000.0,Townhouse,2513.0,2010.0,2010.0,94605,/CA/Oakland/6283-Rocky-Point-Ct-94605/home/22677418,2364.0
3156,3.0,4.0,Alameda County,2016-11-21,650000.0,Single Family Residential,2100.0,1961.0,1962.0,94605,/CA/Oakland/3811-Malcolm-Ave-94605/home/1628848,8493.0
3257,3.0,4.0,Alameda County,2015-05-30,445000.0,Single Family Residential,1905.0,1941.0,1941.0,94605,/CA/Oakland/7315-Deerwood-Ave-94605/home/2005527,6318.0
3332,3.0,4.0,Alameda County,2015-05-27,898000.0,Single Family Residential,2889.0,1992.0,1992.0,94605,/CA/Oakland/11160-Sun-Valley-Dr-94605/home/1891975,22215.600000000002
3383,3.0,4.0,Alameda County,2017-06-30,668000.0,Single Family Residential,2600.0,1971.0,1971.0,94605,/CA/Oakland/3010-Broadmoor-Vw-94605/home/1458964,5977.0
3487,3.0,4.0,Alameda County,2017-11-24,815000.0,Single Family Residential,3506.0,2008.0,2008.0,94605,/CA/Oakland/9919-Caloden-St-94605/home/21964427,7382.0
3511,3.0,4.0,Alameda County,2017-10-31,850000.0,Single Family Residential,2434.0,1957.0,1958.0,94605,/CA/Oakland/8451-Aster-Ave-94605/home/585060,6240.0
3941,3.0,4.0,Alameda County,2015-06-09,829000.0,Single Family Residential,2770.0,1959.0,1985.0,94605,/CA/Oakland/4061-Oak-Hill-Rd-94605/home/537069,9600.0
4022,3.0,4.0,Alameda County,2016-04-08,710000.0,Townhouse,2312.0,2012.0,2012.0,94605,/CA/Oakland/6314-Rocky-Point-Ct-94605/home/22677395,2540.0
4484,3.0,4.0,Alameda County,2016-07-22,1187500.0,Single Family Residential,2961.0,1965.0,1966.0,94605,/CA/Oakland/9039-McGurrin-Rd-94605/home/1547520,31798.8
